,STATIONNAME,LAT,LONG,STATIONTYPE,ZONE,BOROUGH
212,St James's Park,51.4994,-0.1342,Tourist,1.0,City of Westminster
213,St Johns Wood,51.5346,-0.1742,Inner Suburb,2.0,City of Westminster
214,St Pauls,51.5149,-0.0976,City,1.0,City of London
215,Stamford Brook,51.4949,-0.2454,Inner Suburb,2.0,Hounslow
216,Stanmore,51.6197,-0.3031,Outer Suburb,5.0,Harrow
217,Stepney Green,51.522,-0.0465,Inner Suburb,2.0,Tower Hamlets
218,Stockwell,51.4722,-0.1229,Inner Suburb,2.0,Lambeth
219,Stonebridge Park,51.544,-0.2754,Outer Suburb,3.0,Brent
220,Stratford,51.5414,-0.0032,Shopping,3.0,Newham
221,Sudbury Hill,51.5571,-0.3362,Outer Suburb,4.0,Harrow
222,Sudbury Town,51.5508,-0.3154,Outer Suburb,4.0,Brent
223,Swiss Cottage,51.5434,-0.1747,Inner Suburb,2.0,Camden
224,Temple,51.511,-0.1137,City,1.0,City of Westminster
225,Theydon Bois,51.6718,0.1031,Outer Suburb,6.0,Essex
226,Tooting Bec,51.4358,-0.1597,Outer Suburb,3.0,Wandsworth
227,Tooting Broadway,51.4275,-0.168,Outer Suburb,3.0,Wandsworth
228,Tottenham Court Road,51.5163,-0.1309,Shopping,1.0,City of Westminster
229,Tottenham Hale,51.5881,-0.0603,Outer Suburb,3.0,Haringey
230,Totteridge,51.6303,-0.1792,Outer Suburb,4.0,Barnet
231,Tower Hill,51.5101,-0.0763,Tourist,1.0,Tower Hamlets
232,Tufnell Park,51.5567,-0.1379,Inner Suburb,2.0,Islington
233,Turnham Green,51.4952,-0.2545,Inner Suburb,2.5,Hounslow
234,Turnpike Lane,51.5904,-0.1028,Outer Suburb,3.0,Haringey
235,Upminster Bridge,51.5588,0.2358,Outer Suburb,6.0,Havering
236,Upney,51.5384,0.1016,Outer Suburb,4.0,Barking & Dagenham
237,Upton Park,51.5353,0.0353,Outer Suburb,3.0,Newham
238,Uxbridge,51.5466,-0.4781,Outer Suburb,6.0,Hillingdon
239,Vauxhall,51.4858,-0.1237,Inner Suburb,1.5,Lambeth
240,Victoria,51.4964,-0.1438,Terminus,1.0,City of Westminster
241,Victoria D,51.4964,-0.1438,Terminus,1.0,City of Westminster
242,Walthamstow Central,51.583,-0.0199,Outer Suburb,3.0,Waltham Forest
243,Wanstead,51.5756,0.0287,Outer Suburb,4.0,Redbridge
244,Warren Street,51.5246,-0.1383,Shopping,1.0,Camden
245,Warwick Avenue,51.5233,-0.1836,Outer Suburb,2.0,City of Westminster
246,Waterloo (Colonnade),51.5036,-0.1141,Terminus,1.0,Lambeth
247,Waterloo (Main),51.5036,-0.1141,Terminus,1.0,Lambeth
248,Watford Met,51.6575,-0.4172,Outer Suburb,7.0,Hertfordshire
249,Wembley Central,51.5524,-0.2968,Outer Suburb,4.0,Brent
250,Wembley Park,51.5633,-0.2792,Outer Suburb,4.0,Brent
251,West Acton,51.5179,-0.281,Outer Suburb,3.0,Ealing
252,West Brompton,51.4873,-0.1955,Inner Suburb,2.0,Kensington & Chelsea
253,West Finchley,51.6095,-0.1884,Outer Suburb,4.0,Barnet
254,West Ham,51.5283,0.005,Outer Suburb,3.0,Newham
255,West Hampstead,51.5468,-0.1907,Inner Suburb,2.0,Camden
256,West Harrow,51.5798,-0.3529,Outer Suburb,5.0,Harrow
257,West Kensington,51.4906,-0.2065,Inner Suburb,2.0,Hammersmith & Fulham
258,West Ruislip,51.5696,-0.4378,Outer Suburb,6.0,Hillingdon
259,Westbourne Park,51.521,-0.2009,Inner Suburb,2.0,Kensington & Chelsea
260,Westminster,51.5012,-0.1248,Tourist,1.0,City of Westminster
261,White City,51.512,-0.2242,Inner Suburb,2.0,Hammersmith & Fulham
262,Whitechapel,51.5195,-0.06,Inner Suburb,2.0,Tower Hamlets
263,Willesden Green,51.5494,-0.2224,Inner Suburb,2.5,Brent
264,Wimbledon Park,51.4345,-0.1996,Outer Suburb,3.0,Merton
265,Wood Green,51.5975,-0.1096,Outer Suburb,3.0,Haringey
266,Wood Lane,51.51,-0.2242,Inner Suburb,2.0,Hammersmith & Fulham
267,Woodford,51.6071,0.034,Outer Suburb,4.0,Redbridge
268,Woodside Park,51.6179,-0.1854,Outer Suburb,4.0,Barnet
